place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
n6001383839,n6001383839 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n6005632648,n6005632648 (via Pasighat),0.59,1.6,3.11,7.92,10.17,14.41,18.33,13.64,12.32,3.95,0.7,0.26,0.0308,0.0836,0.1625,0.4138,0.5313,0.7529,0.9577,0.7126,0.6437,0.2064,0.0366,0.0136
n6005632652,n6005632652 (via Dibrugarh),0.6,1.58,2.83,7.37,9.76,13.41,15.95,12.68,10.68,3.78,0.68,0.27,0.0313,0.0825,0.1479,0.3851,0.5099,0.7006,0.8333,0.6625,0.558,0.1975,0.0355,0.0141
n6010389670,n6010389670 (via Siliguri),0.18,0.41,0.95,2.33,5.25,9.25,15.28,11.38,9.71,2.96,0.18,0.08,0.0094,0.0214,0.0496,0.1217,0.2743,0.4833,0.7983,0.5946,0.5073,0.1546,0.0094,0.0042
n6010389672,n6010389672 (via Siliguri),0.18,0.41,0.95,2.33,5.25,9.25,15.28,11.38,9.71,2.96,0.18,0.08,0.0094,0.0214,0.0496,0.1217,0.2743,0.4833,0.7983,0.5946,0.5073,0.1546,0.0094,0.0042
n6015351225,n6015351225 (via Mokokchung),0.41,0.98,1.91,5.04,7.34,9.94,10.73,9.34,7.59,3.21,0.64,0.29,0.0214,0.0512,0.0998,0.2633,0.3835,0.5193,0.5606,0.488,0.3966,0.1677,0.0334,0.0152
n6016305574,n6016305574 (via Guwahati),0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
n6018098541,n6018098541 (via Tura),0.3,0.57,1.34,5.79,9.38,13.24,13.26,10.67,10.79,6.01,0.3,0.18,0.0157,0.0298,0.07,0.3025,0.4901,0.6917,0.6928,0.5575,0.5637,0.314,0.0157,0.0094
n6018118378,n6018118378 (via Nalbari),0.21,0.68,1.72,7.74,9.29,11.98,11.3,8.8,7.31,4.15,0.38,0.17,0.011,0.0355,0.0899,0.4044,0.4854,0.6259,0.5904,0.4598,0.3819,0.2168,0.0199,0.0089
n6018333336,n6018333336 (via Diphu),0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
n6021550351,n6021550351 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n603477323,n603477323 (via Gangtok),0.16,0.42,0.96,1.89,3.57,5.4,9.15,7.27,5.11,1.55,0.1,0.09,0.0084,0.0219,0.0502,0.0987,0.1865,0.2821,0.4781,0.3798,0.267,0.081,0.0052,0.0047
